Country,Experience_Years,Salary,Number_of_Projects,Performance_Score,Education_Level,Certification_Status
Australia,4,79023.02,25,90.6,PhD,Certified
Germany,20,82018.29,41,91.26,Diploma,Certified
Brazil,4,85697.62,31,89.75,PhD,Certified
India,18,132660.65,21,66.19,PhD,Certified
Australia,4,59538.49,20,88.26,Bachelor's,Certified
France,17,113950.33,39,57.16,Master's,Certified
UK,12,63919.83,22,82.89,Diploma,Not Certified
Australia,17,92239.0,4,82.08,Bachelor's,Certified
Brazil,10,93346.91,13,51.28,Master's,Certified
India,1,45912.11,45,89.4,Diploma,Certified
Germany,18,74993.65,42,95.16,Diploma,Not Certified
Brazil,18,75303.13,49,63.37,Diploma,Not Certified
Brazil,14,108366.29,20,90.62,Master's,Certified
UK,15,65009.92,13,54.12,Diploma,Not Certified
China,12,61768.93,17,80.0,Diploma,Certified
India,4,53324.68,36,74.28,Bachelor's,Not Certified
Canada,3,75753.46,33,77.3,PhD,Certified
Brazil,20,124697.56,1,96.31,Master's,Not Certified
China,12,113868.32,15,93.57,PhD,Not Certified
Canada,7,68880.87,13,89.25,Bachelor's,Not Certified
India,11,102131.59,17,63.68,PhD,Certified
USA,1,39285.12,24,95.59,Diploma,Certified
France,6,56087.47,8,54.88,Diploma,Certified
China,15,106594.11,27,92.67,Master's,Not Certified
South Africa,15,107053.9,45,66.41,Master's,Not Certified
USA,19,123887.84,23,52.69,Master's,Certified
France,11,72516.42,46,83.47,Bachelor's,Not Certified
UK,2,65821.85,8,61.56,Master's,Certified
Australia,14,88906.45,8,62.18,Bachelor's,Certified
Germany,2,40152.22,26,65.3,Diploma,Certified
South Africa,4,84259.35,47,53.18,PhD,Certified
UK,17,73846.56,13,58.86,Diploma,Not Certified
India,3,45615.92,39,50.26,Diploma,Not Certified
UK,13,62128.83,37,72.27,Diploma,Not Certified
Australia,9,91243.11,49,54.21,Master's,Certified
India,7,84008.14,28,84.13,Master's,Not Certified
South Africa,15,110831.61,25,61.78,Master's,Certified
Australia,11,113155.05,16,97.18,PhD,Certified
Canada,20,122589.11,2,93.56,Master's,Certified
Germany,2,53981.68,18,64.47,Bachelor's,Certified
South Africa,15,74064.87,17,89.16,Diploma,Certified
Canada,14,123624.06,30,90.16,PhD,Certified
France,20,140058.69,39,99.33,PhD,Not Certified
South Africa,11,103231.56,13,79.89,PhD,Not Certified
France,3,76886.88,32,54.1,PhD,Not Certified
India,17,130024.62,29,82.34,PhD,Not Certified
Canada,12,75571.2,46,81.25,Bachelor's,Certified
Germany,15,72629.86,30,81.92,Diploma,Certified
Australia,16,119364.86,18,65.36,PhD,Not Certified
Brazil,5,50572.25,13,92.98,Diploma,Not Certified
UK,20,126587.86,43,97.97,Master's,Not Certified
USA,6,,21,,,Not Certified
Germany,19,137732.27,30,54.41,PhD,Not Certified
Canada,5,51786.41,21,59.73,Diploma,Not Certified
Brazil,3,78914.99,48,91.03,PhD,Not Certified
Germany,1,73519.94,17,83.83,PhD,Not Certified
Canada,6,95682.11,40,81.8,PhD,Certified
China,15,85213.19,19,70.09,Bachelor's,Certified
China,2,53429.22,15,78.89,Bachelor's,Certified
France,3,86584.8,9,65.39,PhD,Certified
Germany,17,93561.34,10,73.86,Bachelor's,Not Certified
China,12,97529.96,44,89.65,Master's,Certified
Canada,18,138543.01,31,99.06,PhD,Not Certified
France,15,107013.33,23,96.62,Master's,Certified
Canada,12,64458.55,30,96.69,Diploma,Not Certified
France,16,116166.13,33,70.11,Master's,Not Certified
Germany,8,59744.72,9,73.44,Diploma,Certified
Brazil,14,120430.62,47,85.28,PhD,Certified
Australia,17,72815.9,1,96.11,Diploma,Not Certified
South Africa,8,56223.84,44,57.1,Diploma,Not Certified
Brazil,15,107885.9,35,65.21,Master's,Not Certified
India,14,101053.08,11,56.96,Master's,Certified
Canada,18,118010.1,34,80.6,Master's,Certified
India,20,138667.2,16,65.32,PhD,Not Certified
Brazil,7,91568.9,9,66.31,PhD,Certified
France,3,74274.73,32,53.55,Master's,Not Certified
South Africa,12,112689.56,15,67.49,PhD,Certified
South Africa,3,83942.64,12,93.12,PhD,Certified
USA,20,77385.25,33,61.65,Diploma,Certified
South Africa,14,64746.98,45,84.76,Diploma,Certified
Australia,15,116646.96,14,81.48,Master's,Certified
South Africa,14,122567.67,8,93.17,PhD,Not Certified
Brazil,7,51123.11,8,56.61,Diploma,Not Certified
USA,17,93246.29,27,98.88,Bachelor's,Certified
Brazil,12,113367.54,12,79.13,PhD,Not Certified
Brazil,20,98656.34,1,99.77,Bachelor's,Not Certified
UK,4,76693.06,43,95.58,Master's,Certified
USA,9,101975.67,40,61.08,PhD,Not Certified
Brazil,6,82938.06,42,52.81,Master's,Certified
UK,16,111664.61,11,62.78,Master's,Not Certified
UK,2,66485.34,39,76.38,Master's,Not Certified
USA,8,82269.48,43,58.58,Master's,Not Certified
India,11,96983.29,31,58.37,Master's,Not Certified
France,13,116813.61,17,73.13,PhD,Not Certified
Australia,17,90924.21,33,51.66,Bachelor's,Not Certified
France,8,103818.51,32,56.09,PhD,Not Certified
South Africa,18,131885.92,29,70.79,PhD,Certified
Australia,18,135753.96,21,53.16,PhD,Certified
South Africa,14,70222.9,21,69.84,Diploma,Certified
Brazil,15,67620.25,40,73.7,Diploma,Certified
Canada,6,94402.39,23,72.56,PhD,Not Certified
USA,11,82191.04,6,93.46,Bachelor's,Not Certified
Australia,13,113173.55,22,76.5,PhD,Not Certified
Australia,1,63538.68,38,73.4,Master's,Certified
Brazil,6,49402.97,37,70.54,Diploma,Certified
India,9,56522.88,45,90.88,Diploma,Certified
UK,8,99623.49,8,94.75,PhD,Not Certified
Brazil,11,111510.64,41,92.66,PhD,Certified
China,19,93486.06,49,83.68,Bachelor's,Not Certified
UK,9,73901.48,35,56.87,Bachelor's,Certified
USA,17,121119.92,11,63.84,Master's,Not Certified
UK,12,114235.54,24,52.3,PhD,Certified
India,14,117299.74,49,96.54,PhD,Not Certified
UK,15,121077.6,21,83.04,PhD,Certified
USA,16,74218.73,2,87.32,Diploma,Certified
India,20,122167.92,40,65.58,Master's,Not Certified
France,1,54521.87,19,92.28,Bachelor's,Not Certified
Australia,10,53880.17,39,62.98,Diploma,Certified
Australia,8,56900.26,28,50.08,Diploma,Not Certified
South Africa,18,78818.94,17,68.82,Diploma,Certified
France,1,41116.79,6,78.54,Diploma,Not Certified
France,2,64223.8,19,73.94,Master's,Certified
UK,1,75257.2,38,93.1,PhD,Not Certified
Australia,1,50949.88,28,55.27,Bachelor's,Certified
USA,9,70342.13,2,77.69,Bachelor's,Certified
Germany,13,65266.1,38,75.65,Diploma,Certified
Germany,1,41114.79,37,64.07,Diploma,Not Certified
India,13,104962.62,4,91.11,Master's,Certified
Australia,20,77765.84,22,87.64,Diploma,Not Certified
Australia,7,71923.58,26,86.64,Bachelor's,Not Certified
Germany,2,54961.97,49,93.81,Bachelor's,Not Certified
Australia,6,94428.03,43,86.14,PhD,Certified
UK,7,89021.32,36,61.59,PhD,Not Certified
China,14,84799.14,13,85.28,Bachelor's,Not Certified
Canada,18,98446.49,32,65.39,Bachelor's,Not Certified
France,15,107779.58,17,62.11,Master's,Certified
South Africa,2,72539.31,41,53.65,Master's,Not Certified
India,10,72954.72,36,87.2,Bachelor's,Not Certified
China,12,60005.6,46,85.55,Diploma,Not Certified
Germany,17,129533.7,19,61.72,PhD,Not Certified
France,8,70858.13,35,87.47,Bachelor's,Certified
Australia,11,,46,,,Certified
South Africa,3,61171.25,40,55.4,Bachelor's,Not Certified
Australia,6,89625.41,28,61.63,PhD,Not Certified
USA,9,107445.47,1,87.51,PhD,Not Certified
USA,6,78037.45,42,63.73,Master's,Not Certified
South Africa,9,94524.5,18,81.23,Master's,Certified
South Africa,7,79593.72,48,54.06,Master's,Certified
Germany,9,87833.5,40,72.61,Master's,Certified
South Africa,18,130715.92,33,86.95,PhD,Certified
UK,12,67058.33,12,84.33,Diploma,Not Certified
Australia,8,60476.15,8,90.75,Diploma,Not Certified
China,8,55777.68,24,93.87,Diploma,Certified
Brazil,18,98662.66,16,88.66,Bachelor's,Certified
South Africa,20,125960.93,4,83.58,Master's,Not Certified
India,15,108551.83,38,51.59,Master's,Not Certified
USA,7,101263.34,44,76.75,PhD,Not Certified
UK,11,110326.63,27,51.88,PhD,Not Certified
France,20,95697.07,9,90.4,Bachelor's,Not Certified
Brazil,16,87250.98,47,66.04,Bachelor's,Certified
China,4,46443.84,16,78.12,Diploma,Certified
Brazil,6,93493.93,12,63.97,PhD,Not Certified
South Africa,3,69037.98,31,89.13,Master's,Not Certified
Germany,9,59771.93,24,94.33,Diploma,Certified
USA,10,95828.14,14,69.93,Master's,Not Certified
USA,14,68690.95,45,93.15,Diploma,Certified
France,11,100325.77,25,63.35,Master's,Certified
Germany,18,89711.74,34,76.73,Bachelor's,Certified
Australia,12,65515.55,3,92.94,Diploma,Certified
Canada,12,100691.18,24,66.29,Master's,Not Certified
UK,13,106438.72,42,97.7,Master's,Not Certified
USA,13,115547.92,9,56.09,PhD,Certified
India,19,75964.91,26,50.91,Diploma,Not Certified
USA,19,121632.52,20,95.21,Master's,Not Certified
Brazil,14,120320.67,40,53.43,PhD,Not Certified
USA,4,69437.98,10,99.59,Master's,Not Certified
USA,13,67072.59,19,97.57,Diploma,Certified
Canada,8,72516.92,3,56.85,Bachelor's,Not Certified
Canada,19,76557.74,24,76.88,Diploma,Certified
China,12,65145.97,5,59.25,Diploma,Certified
Australia,18,115534.2,3,71.41,Master's,Not Certified
India,6,76242.63,27,53.07,Master's,Certified
USA,18,75586.53,16,61.2,Diploma,Not Certified
USA,19,136103.9,49,68.16,PhD,Not Certified
UK,5,,15,,,Certified
Canada,9,100858.98,35,98.87,PhD,Not Certified
India,3,75378.11,12,90.39,Master's,Certified
France,10,89800.83,41,86.87,Master's,Certified
China,19,79040.82,44,76.85,Diploma,Not Certified
Australia,3,63663.88,26,92.0,Bachelor's,Not Certified
Germany,15,110757.74,47,66.97,Master's,Not Certified
Australia,1,46710.54,34,85.44,Diploma,Certified
Brazil,7,52956.41,23,99.69,Diploma,Not Certified
USA,12,84134.82,31,65.73,Bachelor's,Certified
China,17,131474.53,20,83.7,PhD,Certified
Brazil,20,79028.13,12,92.22,Diploma,Not Certified
India,5,46765.4,23,95.79,Diploma,Not Certified
Germany,4,48335.91,4,85.9,Diploma,Not Certified
Canada,12,111639.39,23,64.18,PhD,Certified
China,20,143196.51,48,66.31,PhD,Not Certified
China,18,96800.73,48,51.04,Bachelor's,Certified
USA,17,114090.98,1,88.04,Master's,Not Certified
South Africa,19,137031.67,25,52.14,PhD,Not Certified
China,9,98802.46,2,93.23,Master's,Certified
UK,4,71579.75,30,55.93,Master's,Certified
Germany,2,74928.6,3,58.59,PhD,Not Certified
Germany,4,48394.26,21,73.83,Diploma,Not Certified
UK,2,62127.97,25,86.89,Bachelor's,Not Certified
France,15,113883.36,20,56.95,Master's,Not Certified
UK,2,40278.29,49,72.0,Diploma,Not Certified
UK,4,85563.57,22,74.14,PhD,Certified
Germany,6,80980.17,21,60.61,Master's,Certified
Australia,7,81718.26,33,55.78,Master's,Certified
Germany,10,91746.03,38,91.82,Master's,Certified
South Africa,19,79609.87,15,75.12,Diploma,Not Certified
USA,19,82443.94,46,50.72,Diploma,Certified
Brazil,12,63956.28,15,90.15,Diploma,Certified
Australia,3,69497.22,46,99.04,Master's,Certified
Canada,13,103221.86,25,80.3,Master's,Not Certified
Brazil,18,95093.93,21,75.19,Bachelor's,Certified
USA,8,73683.27,24,93.92,Bachelor's,Not Certified
South Africa,15,69301.68,5,97.63,Diploma,Certified
South Africa,1,41236.78,6,87.73,Diploma,Not Certified
Canada,3,79980.57,49,72.27,PhD,Certified
Australia,8,49442.47,43,79.61,Diploma,Not Certified
France,4,54860.99,48,85.05,Bachelor's,Certified
UK,16,86941.77,44,59.71,Bachelor's,Not Certified
Australia,10,73983.71,47,72.36,Bachelor's,Not Certified
France,12,100471.09,23,91.49,Master's,Certified
South Africa,14,106637.19,4,82.74,Master's,Not Certified
Germany,14,68468.84,27,70.56,Diploma,Not Certified
USA,2,72946.22,18,83.17,PhD,Certified
Canada,5,82609.4,21,55.91,PhD,Certified
USA,5,87511.73,28,70.07,PhD,Not Certified
India,6,79447.35,35,89.66,Master's,Certified
India,13,85564.82,22,61.03,Bachelor's,Certified
Australia,9,70701.75,40,59.3,Bachelor's,Certified
South Africa,15,110324.75,23,97.54,Master's,Not Certified
South Africa,14,119836.39,3,60.49,PhD,Not Certified
UK,7,99235.69,40,63.05,PhD,Not Certified
UK,20,79162.46,10,98.48,Diploma,Not Certified
UK,2,45385.3,25,86.74,Diploma,Not Certified
Germany,7,89456.74,49,84.98,PhD,Not Certified
Brazil,6,81765.34,8,92.65,Master's,Not Certified
China,17,,11,,,Certified
Brazil,2,44846.98,5,85.3,Diploma,Not Certified
USA,3,81395.34,45,75.18,PhD,Not Certified
Brazil,5,,37,,,Certified
Germany,5,62311.43,45,75.41,Bachelor's,Certified
USA,1,59079.92,38,81.01,Master's,Certified
Brazil,8,83773.11,29,73.89,Master's,Not Certified
Germany,12,65027.42,5,73.91,Diploma,Certified
China,4,70698.58,9,88.4,Master's,Not Certified
Brazil,13,104971.47,48,81.43,Master's,Not Certified
Germany,15,68084.84,2,81.66,Diploma,Not Certified
UK,11,54744.76,1,72.51,Diploma,Certified
South Africa,10,73604.96,40,76.56,Bachelor's,Certified
UK,3,78106.94,30,87.29,PhD,Not Certified
South Africa,14,104846.39,11,91.3,Master's,Not Certified
Canada,16,67632.5,28,84.83,Diploma,Not Certified
Canada,10,69626.86,44,96.2,Bachelor's,Certified
Canada,10,102030.79,12,91.02,PhD,Not Certified
China,12,66888.4,39,78.09,Diploma,Certified
